No,NIM,Pilihan 1,Pilihan 2,Peminatan,MP1,MP2,MP3
1173,1202164158,EIM,EAD,EIM,3,5,0,0
1174,1202164159,ISM,ISM,ISM,0,3,5,0
1175,1202164161,ERP,EDM,ERP,3,5,0,0
1176,1202164162,EA,EAD,EAD,0,0,0
1177,1202164164,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1178,1202164165,ISM,EDM,ISM,4,0,0
1179,1202164166,ISM,EDM,ISM,0,4,0
1180,1202164168,EIM,EDM,EIM,3,5,0,0
1181,1202164172,ERP,EDM,ERP,4,0,0
1182,1202164174,TECHNO,ISM,TECHNO,4,0,0
1183,1202164176,ISM,EAD,ISM,3,5,0,0
1184,1202164177,ERP,TECHNO,ERP,4,0,0
1185,1202164181,ISM,TECHNO,ISM,0,0,0
1186,1202164187,EDM,ERP,EDM,3,5,0,0
1187,1202164188,ISM,EAD,ISM,0,3,5,0
1188,1202164189,TECHNO,EIM,TECHNO,4,0,0
1189,1202164193,ERP,EDM,ERP,4,0,0
1190,1202164194,EIM,EAD,EIM,4,0,0
1191,1202164199,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1192,1202164201,EA,EDM,EAA,3,5,0,0
1193,1202164203,EA,EAD,EAA,4,0,0
1194,1202164204,TECHNO,EA,TECHNO,4,0,0
1195,1202164207,EDM,EIM,EDM,3,5,0,0
1196,1202164208,ISM,EAD,EAD,0,0,0
1197,1202164209,EAD,ERP,EAD,0,0,2
1198,1202164211,EDM,EA,EDM,0,0,0
1199,1202164213,TECHNO,EA,TECHNO,4,0,0
1200,1202164221,ISM,ISM,ISM,0,4,0
1201,1202164223,EIM,EDM,EIM,3,5,0,0
1202,1202164224,EAD,ERP,EAD,0,0,3
1203,1202164225,EIM,EAD,EIM,3,5,0,0
1204,1202164226,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1205,1202164230,TECHNO,ISM,TECHNO,0,0,0
1206,1202164231,EIM,EAD,EAD,0,0,0
1207,1202164233,ERP,EAD,ERP,3,5,0,0
1208,1202164235,ISM,TECHNO,ISM,0,0,0
1209,1202164238,ISM,TECHNO,ISM,0,4,0
1210,1202164241,EA,TECHNO,EAA,3,5,0,0
1211,1202164242,EA,EDM,EAA,3,5,0,0
1212,1202164243,ISM,EDM,ISM,0,0,0
1213,1202164244,EA,EDM,EAA,3,5,0,0
1214,1202164245,TECHNO,ISM,TECHNO,4,0,0
1215,1202164249,EA,TECHNO,EAA,4,0,0
1216,1202164250,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1217,1202164254,ERP,TECHNO,ERP,0,0,0
1218,1202164260,EDM,EIM,EDM,3,5,0,0
1219,1202164261,ERP,EDM,ERP,4,0,0
1220,1202164263,ISM,EDM,ISM,0,4,0
1221,1202164270,ERP,EDM,ERP,0,0,0
1222,1202164271,ISM,EDM,ISM,0,3,5,0
1223,1202164272,EA,EDM,EDM,0,0,0
1224,1202164273,EAD,ISM,EAD,0,0,3
1225,1202164275,EA,TECHNO,EA,0,0,0
1226,1202164276,TECHNO,ISM,TECHNO,4,0,0
1227,1202164279,ERP,EDM,ERP,3,5,0,0
1228,1202164280,EDM,ISM,EDM,3,5,0,0
1229,1202164284,EIM,TECHNO,EIM,3,5,0,0
1230,1202164285,EDM,EA,EDM,3,5,0,0
1231,1202164286,ERP,EAD,ERP,4,0,0
1232,1202164287,ERP,EAD,ERP,3,5,0,0
1233,1202164289,EAD,EA,EAD,0,0,3
1234,1202164290,EDM,EDM,EDM,3,5,0,0
1235,1202164298,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1236,1202164301,EDM,EIM,EDM,3,5,0,0
1237,1202164302,EDM,EA,EDM,3,5,0,0
1238,1202164304,EIM,TECHNO,EIM,2,0,0
1239,1202164305,EDM,EDM,EDM,0,0,0
1240,1202164306,EA,EAD,EAA,4,0,0
1241,1202164307,EAD,EIM,EAD,0,0,0
1242,1202164309,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1243,1202164311,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1244,1202164312,TECHNO,EA,TECHNO,4,0,0
1245,1202164314,EIM,EAD,EIM,3,5,0,0
1246,1202164315,EDM,EA,EDM,3,5,0,0
1247,1202164317,ERP,ERP,ERP,0,0,0
1248,1202164318,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1249,1202164323,ERP,TECHNO,ERP,4,0,0
1250,1202164328,ISM,EDM,ISM,0,4,0
1251,1202164329,TECHNO,EA,TECHNO,4,0,0
1252,1202164331,ERP,EDM,ERP,4,0,0
1253,1202164334,EIM,EDM,EIM,3,5,0,0
1254,1202164335,EA,EDM,EAA,4,0,0
1255,1202164344,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1256,1202164345,EIM,EAD,EIM,3,5,0,0
1257,1202164346,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1258,1202164348,EIM,EAD,EIM,3,5,0,0
1259,1202164349,EIM,TECHNO,EIM,3,5,0,0
1260,1202164350,ISM,EAD,ISM,4,0,0
1261,1202164351,ERP,ERP,ERP,0,0,0
1262,1202164359,EA,EAD,EAA,4,0,0
1263,1202164361,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1264,1202164363,ERP,EDM,ERP,3,5,0,0
1265,1202164364,EDM,EA,EDM,3,5,0,0
1266,1202164366,ISM,TECHNO,ISM,0,0,0
1267,1202164367,ISM,EAD,ISM,3,5,0,0
1268,1202164368,ISM,EDM,ISM,0,4,0
1269,1202164371,ERP,EAD,ERP,2,0,0
1270,1202164373,EIM,EDM,EDM,0,0,0
1271,1202164374,ERP,EDM,ERP,4,0,0
1272,1202164377,ISM,ISM,ISM,0,3,0
1273,1202164379,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1274,1202164387,EDM,EIM,EDM,3,5,0,0
1275,1202164388,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1276,1202164390,ERP,TECHNO,ERP,4,0,0
1277,1202164391,EIM,EDM,EIM,0,0,0
1278,1202164392,EA,EDM,EDM,0,0,0
1279,1202164393,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1280,1202164394,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1281,1202164395,EIM,EDM,EIM,3,5,0,0
1282,1202164397,ERP,ERP,ERP,0,0,0
1283,1202164399,ISM,EAD,ISM,0,0,0
